Employee,Crossfunctional Responsibilities,Job Rotation,Remuneration,Job Specific Trainings ,Managerial Trainings,Organisational Responsiveness,Work Culture,Professionalism,Job Profile
E1,2,3,1,1,4,1,4,5,1
E2,2,3,1,5,5,1,1,1,1
E3,2,1,3,3,3,4,4,5,2
E4,4,4,3,4,3,4,3,2,3
E5,3,3,3,3,3,3,3,3,3
E6,5,4,4,2,3,1,2,1,1
E7,5,5,5,3,3,1,3,4,3
E8,4,5,3,3,3,3,3,2,2
E9,5,5,1,5,3,4,1,1,1
E10,3,3,3,4,1,5,3,3,3
E11,3,1,4,3,2,4,2,3,2
E12,1,2,5,2,3,1,5,5,5
E13,3,2,4,4,4,3,2,3,1
E14,3,2,4,4,5,3,2,3,1
E15,5,4,4,3,4,3,4,3,1
